#ON_FRAME, OFF_FRAME, NOTE, VEL, FINGER, WRIST_POS, INDEX, POLYPHONIC_ID, TIE_FLG
60,64,36,80,5,42,0,0,0
66,71,40,80,4,42,1,0,0
72,77,43,80,2,42,2,0,0
79,84,48,80,1,42,3,0,0
85,90,52,80,4,49,4,0,0
92,96,55,80,2,54,5,0,0
98,103,60,80,1,54,6,0,0
104,109,64,80,4,61,7,0,0
111,116,67,80,2,66,8,0,0
117,122,72,80,1,66,9,0,0
124,129,76,80,4,73,10,0,0
130,135,79,80,2,78,11,0,0
137,141,84,80,1,78,12,0,0
143,148,79,80,2,78,13,0,0
149,154,76,80,4,78,14,0,0
156,161,72,80,1,73,15,0,0
162,167,67,80,2,66,16,0,0
169,174,64,80,4,66,17,0,0
175,180,60,80,1,61,18,0,0
182,186,55,80,2,54,19,0,0
188,193,52,80,4,54,20,0,0
194,199,48,80,1,49,21,0,0
201,206,43,80,2,42,22,0,0
207,212,40,80,4,42,23,0,0
214,259,36,80,5,42,24,0,0
